Model,Epoch,Train Loss,Train Acc,Val Loss,Validation Acc,Epoch Time,Cumul Time
pvt_v2_b3.in1k,1,5.630072116851807,0.0125,5.55327033996582,0.0,0.7693328857421875,0.7693328857421875
pvt_v2_b3.in1k,2,5.32155704498291,0.025,5.436481475830078,0.0,0.4320690631866455,1.201401948928833
pvt_v2_b3.in1k (Best),1,5.630072116851807,0.0125,5.55327033996582,0.0,0.7693328857421875,0.7693328857421875
vit_base_patch16_224.orig_in21k_ft_in1k,1,5.573613166809082,0.0,5.0521345138549805,0.025,0.5307087898254395,0.5307087898254395
vit_base_patch16_224.orig_in21k_ft_in1k,2,4.951930046081543,0.0125,4.549035549163818,0.025,0.5678582191467285,1.098567008972168
vit_base_patch16_224.orig_in21k_ft_in1k (Best),1,5.573613166809082,0.0,5.0521345138549805,0.025,0.5307087898254395,0.5307087898254395
deit3_base_patch16_224.fb_in22k_ft_in1k,1,6.418062686920166,0.0,4.601953983306885,0.025,0.5434134006500244,0.5434134006500244
deit3_base_patch16_224.fb_in22k_ft_in1k,2,4.480175495147705,0.025,3.7135748863220215,0.05,0.573211669921875,1.1166250705718994
deit3_base_patch16_224.fb_in22k_ft_in1k (Best),2,4.480175495147705,0.025,3.7135748863220215,0.05,0.573211669921875,1.1166250705718994
resnet50.a1_in1k,1,5.558480262756348,0.0,8.110383987426758,0.05,0.30965161323547363,0.30965161323547363
resnet50.a1_in1k,2,5.33908748626709,0.0375,5.215376377105713,0.0,0.23575949668884277,0.5454111099243164
resnet50.a1_in1k (Best),1,5.558480262756348,0.0,8.110383987426758,0.05,0.30965161323547363,0.30965161323547363
resnet18.a1_in1k,1,5.5660624504089355,0.0,5.36182975769043,0.025,0.06232118606567383,0.06232118606567383
resnet18.a1_in1k,2,5.363596439361572,0.0125,5.163670063018799,0.05,0.05062270164489746,0.11294388771057129
resnet18.a1_in1k (Best),2,5.363596439361572,0.0125,5.163670063018799,0.05,0.05062270164489746,0.11294388771057129
resnet152.a1_in1k,1,5.570254802703857,0.0,5.318663597106934,0.025,0.3804950714111328,0.3804950714111328
resnet152.a1_in1k,2,5.352143287658691,0.0875,5.073421001434326,0.05,0.38445138931274414,0.764946460723877
resnet152.a1_in1k (Best),2,5.352143287658691,0.0875,5.073421001434326,0.05,0.38445138931274414,0.764946460723877
swin_base_patch4_window7_224.ms_in22k_ft_in1k,1,5.6190314292907715,0.0,5.39110803604126,0.0,0.7506415843963623,0.7506415843963623
swin_base_patch4_window7_224.ms_in22k_ft_in1k,2,5.189933776855469,0.1125,5.168581962585449,0.0,0.7794137001037598,1.530055284500122
swin_base_patch4_window7_224.ms_in22k_ft_in1k (Best),1,5.6190314292907715,0.0,5.39110803604126,0.0,0.7506415843963623,0.7506415843963623
mixer_b16_224.goog_in21k_ft_in1k,1,5.550271511077881,0.025,5.072845458984375,0.05,0.4337341785430908,0.4337341785430908
mixer_b16_224.goog_in21k_ft_in1k,2,5.074008941650391,0.0625,4.682791709899902,0.05,0.4499483108520508,0.8836824893951416
mixer_b16_224.goog_in21k_ft_in1k (Best),1,5.550271511077881,0.025,5.072845458984375,0.05,0.4337341785430908,0.4337341785430908
tf_efficientnetv2_m.in21k_ft_in1k,1,5.647231101989746,0.0,71.71973419189453,0.05,0.995729923248291,0.995729923248291
tf_efficientnetv2_m.in21k_ft_in1k,2,4.8538432121276855,0.0875,20.524587631225586,0.075,0.9812641143798828,1.9769940376281738
tf_efficientnetv2_m.in21k_ft_in1k (Best),2,4.8538432121276855,0.0875,20.524587631225586,0.075,0.9812641143798828,1.9769940376281738
convnext_base.fb_in22k_ft_in1k,1,5.701056957244873,0.0125,5.515581130981445,0.0,0.5922667980194092,0.5922667980194092
convnext_base.fb_in22k_ft_in1k,2,5.0201311111450195,0.075,5.314601898193359,0.025,0.6346304416656494,1.2268972396850586
convnext_base.fb_in22k_ft_in1k (Best),2,5.0201311111450195,0.075,5.314601898193359,0.025,0.6346304416656494,1.2268972396850586
regnety_040.pycls_in1k,1,5.695084571838379,0.0,4.562832832336426,0.05,0.3080873489379883,0.3080873489379883
regnety_040.pycls_in1k,2,4.642078399658203,0.0875,3.8034462928771973,0.025,0.21755599975585938,0.5256433486938477
regnety_040.pycls_in1k (Best),1,5.695084571838379,0.0,4.562832832336426,0.05,0.3080873489379883,0.3080873489379883
